RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
AKC 1155,08/21,AKC1155 FIV R1,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66,66,16%,,,,,,,,,,,,,,,,,3.27,65,2%,0.56,62,9%,,,,,,,,,,,,,,,,-0.373,56,0.1%,-0.515,62,0.1%,,,,,,,,,,,,,,,,,,,
KAPO 3674,10/19,KAPO3674 KA,G,KAPM 5907,,,,,,,,,,,,,,,,,,,,,,,,,,,22.23,61,6%,,,,,,,,,,,,,,,,,0.78,59,19%,0.19,56,30%,,,,,,,,,,,,,,,,-0.354,47,0.1%,-0.395,54,1%,,,,,,,,,,,,,,,,,,,
RDM A2647,08/19,EXCLUSIVO MAT.,G,MATI 1788,,,,,,,,,,,,,,,,,,,,,,,,,,,13.43,61,24%,,,,,,,,,,,,,,,,,2.13,62,6%,0.31,59,21%,,,,,,,,,,,,,,,,-0.349,53,0.1%,-0.620,59,0.1%,,,,,,,,,,,,,,,,,,,
EAO B1667,08/19,1667 FIV DA EAO,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,17.47,67,14%,,,,,,,,,,,,,,,,,0.32,68,26%,0.89,65,3%,,,,,,,,,,,,,,,,-0.347,59,0.1%,-0.769,65,0.1%,,,,,,,,,,,,,,,,,,,
FVC 10111,10/14,MARMORE FVC,G,REM 5531,,,,,,,,,,,,,,,,,,,,,,,,,,,22.85,87,6%,,,,,,,,,,,,,,,,,0.12,86,30%,0.16,85,33%,,,,,,,,,,,,,,,,-0.343,81,0.1%,-0.447,84,0.5%,,,,,,,,,,,,,,,,,,,
MMVA5969,08/22,5969 FIV DA JACAMIM,G,MMVA 2674,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14,65,32%,,,,,,,,,,,,,,,,,1.12,65,14%,0.61,62,8%,,,,,,,,,,,,,,,,-0.343,54,0.1%,-0.403,60,1%,,,,,,,,,,,,,,,,,,,
NTI 3175,07/21,3175 TI DA 27,G,REM 5531,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85,84,15%,,,,,,,,,,,,,,,,,0.52,84,22%,0.00,82,57%,,,,,,,,,,,,,,,,-0.342,79,0.1%,-0.641,82,0.1%,,,,,,,,,,,,,,,,,,,
EAO B4262,08/20,B4262 FIV DA EAO,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,16.77,68,15%,,,,,,,,,,,,,,,,,1.93,68,8%,1.34,66,0.5%,,,,,,,,,,,,,,,,-0.342,59,0.1%,-0.588,64,0.1%,,,,,,,,,,,,,,,,,,,
DVD 5093,11/21,5093 PO CONFIANCA,G,RDM A1335,,,,,,,,,,,,,,,,,,,,,,,,,,,21.11,65,8%,,,,,,,,,,,,,,,,,2.77,65,4%,0.66,62,6%,,,,,,,,,,,,,,,,-0.340,55,0.1%,-0.438,61,0.5%,,,,,,,,,,,,,,,,,,,
REMC A3968,10/20,REM3968J GENETICA ADI,G,REM A2288,,,,,,,,,,,,,,,,,,,,,,,,,,,12.83,85,26%,,,,,,,,,,,,,,,,,3.05,85,3%,0.42,83,15%,,,,,,,,,,,,,,,,-0.337,80,0.1%,-0.317,83,3%,,,,,,,,,,,,,,,,,,,
ACF 3522,11/14,ADAMO FIV KUBERA,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73,85,11%,,,,,,,,,,,,,,,,,1.18,80,14%,0.50,78,11%,,,,,,,,,,,,,,,,-0.337,67,0.1%,-0.354,72,2%,,,,,,,,,,,,,,,,,,,
MFBN 8549,09/21,TANRY FIV G.SALES,G,-0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,81,22%,1.66,,,,,,,,,,,,,,,,,81,9%,0.50,79,11%,,,,,,,,,,,,,,,,,75,0.1%,-0.672,79,0.1%,14.09,,,,,,,,,,,,,,,,,,,
MOX 813,09/21,813 FIV DE MOXOS,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49,70,21%,,,,,,,,,,,,,,,,,0.84,69,18%,0.64,67,7%,,,,,,,,,,,,,,,,-0.336,61,0.1%,-0.337,66,2%,,,,,,,,,,,,,,,,,,,
KPAM 2308,11/21,KPAM2308 KA,G,COL 23568,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,61,42%,,,,,,,,,,,,,,,,,0.90,60,17%,0.04,57,49%,,,,,,,,,,,,,,,,-0.336,47,0.1%,-0.525,54,0.1%,,,,,,,,,,,,,,,,,,,
EAO B1827,08/19,1827 FIV DA EAO,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,17.30,71,14%,,,,,,,,,,,,,,,,,0.27,71,27%,0.26,68,24%,,,,,,,,,,,,,,,,-0.334,62,0.1%,-0.217,68,9%,,,,,,,,,,,,,,,,,,,
JRBT B4547,12/14,ABAETE JR TAR,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,18.34,85,12%,,,,,,,,,,,,,,,,,3.70,85,2%,0.53,83,10%,,,,,,,,,,,,,,,,-0.330,80,0.1%,-0.378,83,1%,,,,,,,,,,,,,,,,,,,
REMC A3317,11/19,REMCA3317I,G,REMC A657,,,,,,,,,,,,,,,,,,,,,,,,,,,34.37,67,0.5%,,,,,,,,,,,,,,,,,2.95,67,3%,0.21,64,28%,,,,,,,,,,,,,,,,-0.325,57,0.1%,-0.126,63,25%,,,,,,,,,,,,,,,,,,,
BRMG 3841,10/19,BHANU DA BEABISA,G,REMC 9375,,,,,,,,,,,,,,,,,,,,,,,,,,,24.97,67,4%,,,,,,,,,,,,,,,,,3.33,67,2%,0.08,64,43%,,,,,,,,,,,,,,,,-0.325,56,0.1%,-0.331,62,2%,,,,,,,,,,,,,,,,,,,
MCPJ 6026,04/21,6026S FIV JMP,G,REMC A657,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54,66,6%,,,,,,,,,,,,,,,,,3.74,66,2%,0.33,63,19%,,,,,,,,,,,,,,,,-0.324,56,0.1%,-0.274,62,5%,,,,,,,,,,,,,,,,,,,
FANO 3422,12/20,ENTALADO DA AGRONOVA,G,MATI 1788,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33,65,9%,,,,,,,,,,,,,,,,,4.30,65,1%,0.20,62,29%,,,,,,,,,,,,,,,,-0.321,56,0.1%,-0.317,62,3%,,,,,,,,,,,,,,,,,,,
EAO B5197,09/20,B5197 DA EAO,G,REM 5531,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58,86,2%,,,,,,,,,,,,,,,,,0.45,85,24%,0.28,84,23%,,,,,,,,,,,,,,,,-0.319,81,0.1%,-0.311,84,3%,,,,,,,,,,,,,,,,,,,
MFBN10419,09/22,VEMAJO FIV G.SALES,G,MFBN 5123,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54,68,21%,,,,,,,,,,,,,,,,,1.64,68,10%,0.19,65,30%,,,,,,,,,,,,,,,,-0.316,58,0.1%,-0.478,64,0.5%,,,,,,,,,,,,,,,,,,,
VIV 5423,01/22,5423 PRONEL,G,ACNP 3146,,,,,,,,,,,,,,,,,,,,,,,,,,,29.67,69,2%,,,,,,,,,,,,,,,,,3.66,69,2%,0.16,66,33%,,,,,,,,,,,,,,,,-0.315,59,0.1%,-0.267,65,5%,,,,,,,,,,,,,,,,,,,
FANO 4024,12/21,FICTICIO DA AGRONOVA,G,BONS 3108,,,,,,,,,,,,,,,,,,,,,,,,,,,18.90,86,11%,,,,,,,,,,,,,,,,,3.55,85,2%,0.36,84,18%,,,,,,,,,,,,,,,,-0.314,81,0.1%,-0.246,84,7%,,,,,,,,,,,,,,,,,,,
EAO B1781,08/19,1781 FIV DA EAO,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,20.93,66,8%,,,,,,,,,,,,,,,,,1.93,67,8%,0.50,64,11%,,,,,,,,,,,,,,,,-0.314,57,0.1%,-0.549,63,0.1%,,,,,,,,,,,,,,,,,,,
PHOC 2191,09/21,2191 PHOC,G,PHOC 583,,,,,,,,,,,,,,,,,,,,,,,,,,,23.61,60,5%,,,,,,,,,,,,,,,,,1.36,60,12%,0.74,56,5%,,,,,,,,,,,,,,,,-0.314,47,0.1%,-0.291,54,4%,,,,,,,,,,,,,,,,,,,
CSCC 7812,10/21,7812 DE NAVIRAI,G,CSCN 17987,,,,,,,,,,,,,,,,,,,,,,,,,,,24.62,85,4%,,,,,,,,,,,,,,,,,0.71,85,20%,0.16,84,33%,,,,,,,,,,,,,,,,-0.313,80,0.1%,-0.392,83,1%,,,,,,,,,,,,,,,,,,,
FGP A703,05/20,A703 FIV GUADALUPE,G,ACNP 3146,,,,,,,,,,,,,,,,,,,,,,,,,,,23.16,67,5%,,,,,,,,,,,,,,,,,1.31,68,12%,0.27,66,23%,,,,,,,,,,,,,,,,-0.313,58,0.1%,-0.293,64,4%,,,,,,,,,,,,,,,,,,,
EAO B1665,08/19,1665 FIV DA EAO,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25,68,3%,,,,,,,,,,,,,,,,,2.26,69,6%,0.11,66,39%,,,,,,,,,,,,,,,,-0.310,60,0.1%,-0.208,66,10%,,,,,,,,,,,,,,,,,,,
GCL 5317,11/22,KOOTO FIV VARRELA,G,COL 25550,,,,,,,,,,,,,,,,,,,,,,,,,,,24.37,66,4%,,,,,,,,,,,,,,,,,0.55,66,22%,0.25,63,25%,,,,,,,,,,,,,,,,-0.310,56,0.1%,-0.245,62,7%,,,,,,,,,,,,,,,,,,,
REM 10949,10/19,REM10949I,G,REMC 9828,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,66,36%,,,,,,,,,,,,,,,,,1.77,65,9%,0.05,62,48%,,,,,,,,,,,,,,,,-0.310,56,0.1%,-0.623,62,0.1%,,,,,,,,,,,,,,,,,,,
MFRA10032,07/20,10032 MAFRA,G,REMC 7074,,,,,,,,,,,,,,,,,,,,,,,,,,,15.26,64,19%,,,,,,,,,,,,,,,,,0.72,65,19%,0.16,61,33%,,,,,,,,,,,,,,,,-0.310,53,0.1%,-0.356,59,2%,,,,,,,,,,,,,,,,,,,
MCPJ 6366,06/21,6366P FIV JMP,G,REMC A337,,,,,,,,,,,,,,,,,,,,,,,,,,,22.47,60,6%,,,,,,,,,,,,,,,,,3.71,60,2%,0.59,56,8%,,,,,,,,,,,,,,,,-0.310,49,0.1%,-0.369,56,2%,,,,,,,,,,,,,,,,,,,
EAO B1917,08/19,1917 FIV DA EAO,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,67,67%,,,,,,,,,,,,,,,,,2.10,68,7%,0.96,65,2%,,,,,,,,,,,,,,,,-0.308,59,0.1%,-0.621,64,0.1%,,,,,,,,,,,,,,,,,,,
FVC 16538,08/22,ACERVO FVC,G,MMVA 2725,,,,,,,,,,,,,,,,,,,,,,,,,,,31.99,69,1%,,,,,,,,,,,,,,,,,1.69,68,9%,0.57,65,9%,,,,,,,,,,,,,,,,-0.308,59,0.1%,-0.313,65,3%,,,,,,,,,,,,,,,,,,,
GRI C471,12/19,C471 FIV DA S.NICE,G,LBMN D4685,,,,,,,,,,,,,,,,,,,,,,,,,,,14.32,67,21%,,,,,,,,,,,,,,,,,2.00,68,7%,0.99,65,2%,,,,,,,,,,,,,,,,-0.307,57,0.1%,-0.370,63,2%,,,,,,,,,,,,,,,,,,,
MMVA5157,10/21,5157 FIV DA JACAMIM,G,MMVA 2725,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96,65,9%,,,,,,,,,,,,,,,,,1.68,66,9%,0.91,63,3%,,,,,,,,,,,,,,,,-0.307,54,0.1%,-0.392,61,1%,,,,,,,,,,,,,,,,,,,
RDM A5430,07/21,A5430 MAT.,G,RDM A1335,,,,,,,,,,,,,,,,,,,,,,,,,,,17.33,69,14%,,,,,,,,,,,,,,,,,1.82,69,8%,0.13,66,36%,,,,,,,,,,,,,,,,-0.306,60,0.1%,-0.461,66,0.5%,,,,,,,,,,,,,,,,,,,
FANO 4146,01/22,FACTOR DA AGRONOVA,G,REMP 816,-1.24,44,5%,80.01,63,34%,,,,,,,2.26,73,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,71,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,-3.063,65,0.1%,,,,,,,,,,,,,,,,
HORA 3872,12/18,3872 DA HORA,G,REM A7,-1.43,43,2%,93.48,61,0.5%,,,,,,,2.09,71,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,68,2%,,,,,,,,,,,,,,,,,,,,,,,,,-3.033,62,0.1%,,,,,,,,,,,,,,,,
MDLO 3109,10/22,J3109 DA MDLO,G,REMP 816,-0.73,43,30%,85.90,63,13%,,,,,,,2.51,72,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,70,6%,,,,,,,,,,,,,,,,,,,,,,,,,-2.985,64,0.1%,,,,,,,,,,,,,,,,
AMJM 316,09/22,316. FIV,G,REM A1936,-1.34,46,3%,92.64,64,1%,,,,,,,2.83,73,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,70,2%,,,,,,,,,,,,,,,,,,,,,,,,,-2.949,64,0.1%,,,,,,,,,,,,,,,,
PHOC 2822,10/22,2822 FIV PHOC,G,RDM A3064,-1.86,32,0.1%,89.17,51,5%,,,,,,,2.96,63,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,61,6%,,,,,,,,,,,,,,,,,,,,,,,,,-2.943,53,0.1%,,,,,,,,,,,,,,,,
CLRP 2941,10/21,2941P DA CLR,G,REMP 816,-1.51,37,1%,91.05,57,2%,,,,,,,2.05,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,65,7%,,,,,,,,,,,,,,,,,,,,,,,,,-2.923,60,0.1%,,,,,,,,,,,,,,,,
BONS 4242,08/21,CABIL FIV BONS,G,REM A1936,-1.22,40,6%,89.46,58,5%,,,,,,,2.55,68,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,66,8%,,,,,,,,,,,,,,,,,,,,,,,,,-2.910,58,0.1%,,,,,,,,,,,,,,,,
FANO 2663,12/19,DALLAS DA AGRONOVA,G,REM A7,-0.92,44,18%,84.19,62,19%,,,,,,,2.53,71,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,69,2%,,,,,,,,,,,,,,,,,,,,,,,,,-2.906,63,0.1%,,,,,,,,,,,,,,,,
XIKU 9021,05/22,JHAVARI,G,REMP 816,-0.77,37,27%,81.77,57,28%,,,,,,,2.26,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,65,12%,,,,,,,,,,,,,,,,,,,,,,,,,-2.891,58,0.1%,,,,,,,,,,,,,,,,
KAT 5643,12/21,5643 KATISPERA,G,REM A1936,-1.23,39,6%,89.53,58,4%,,,,,,,2.20,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,64,5%,,,,,,,,,,,,,,,,,,,,,,,,,-2.879,58,0.1%,,,,,,,,,,,,,,,,
FVC 16553,08/22,ALGO FVC,G,REM A1936,-0.84,44,22%,80.82,63,31%,,,,,,,2.64,72,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,69,2%,,,,,,,,,,,,,,,,,,,,,,,,,-2.843,63,0.1%,,,,,,,,,,,,,,,,
AGJZ 919,07/21,JALIMU FIV DA GAROUPA,G,REMP 816,-1.96,69,0.1%,89.38,82,5%,,,,,,,2.13,87,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,85,8%,,,,,,,,,,,,,,,,,,,,,,,,,-2.839,82,0.1%,,,,,,,,,,,,,,,,
LCCF 1580,09/22,1580H DA ARZ,G,REMP 816,-1.36,44,3%,88.46,64,6%,,,,,,,1.58,73,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,70,4%,,,,,,,,,,,,,,,,,,,,,,,,,-2.830,65,0.1%,,,,,,,,,,,,,,,,
BRA 654,11/21,BR AGRO GODZILA,G,REMP 816,-1.02,39,13%,85.68,59,14%,,,,,,,2.02,69,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,66,7%,,,,,,,,,,,,,,,,,,,,,,,,,-2.826,60,0.1%,,,,,,,,,,,,,,,,
AGZ 2484,09/22,AGZ2484 FIV,G,BONS 3108,-1.11,43,9%,87.28,61,9%,,,,,,,2.31,70,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,68,25%,,,,,,,,,,,,,,,,,,,,,,,,,-2.822,61,0.1%,,,,,,,,,,,,,,,,
IFC 17600,11/20,RAYLANDER FIV DO IF,G,BONS 3108,-0.96,70,16%,81.18,82,30%,,,,,,,2.03,87,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,85,9%,,,,,,,,,,,,,,,,,,,,,,,,,-2.809,82,0.1%,,,,,,,,,,,,,,,,
MDLO 2901,08/22,J2901 DA MDLO,G,KAT 3894,-1.11,36,9%,76.31,56,49%,,,,,,,1.48,67,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,63,1%,,,,,,,,,,,,,,,,,,,,,,,,,-2.803,56,0.1%,,,,,,,,,,,,,,,,
HORA 6602,08/22,6602 DA HORA,G,REM A1936,-1.20,40,6%,84.64,58,17%,,,,,,,2.31,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,65,11%,,,,,,,,,,,,,,,,,,,,,,,,,-2.797,58,0.1%,,,,,,,,,,,,,,,,
FZNM 16720,10/20,MARATA 16720,G,BONS 3108,-0.72,67,30%,80.53,81,32%,,,,,,,1.79,86,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,84,11%,,,,,,,,,,,,,,,,,,,,,,,,,-2.794,81,0.1%,,,,,,,,,,,,,,,,
MNS 11889,09/21,11889 FIV ALO BRASIL,G,REMP 816,-0.86,37,21%,85.78,57,13%,,,,,,,1.86,68,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,66,17%,,,,,,,,,,,,,,,,,,,,,,,,,-2.778,59,0.1%,,,,,,,,,,,,,,,,
CLRP 2857,08/21,2857P DA CLR,G,REMP 816,-1.42,36,2%,83.92,57,20%,,,,,,,2.04,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,66,3%,,,,,,,,,,,,,,,,,,,,,,,,,-2.778,59,0.1%,,,,,,,,,,,,,,,,
ANP 2503,12/22,2503 DA ANP,G,REM 11049,-1.55,33,1%,89.14,54,5%,,,,,,,1.94,65,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,62,9%,,,,,,,,,,,,,,,,,,,,,,,,,-2.777,54,0.1%,,,,,,,,,,,,,,,,
RDM A8816,10/22,A8816 MAT.,G,RDM A3064,-0.86,33,21%,87.75,53,8%,,,,,,,2.30,64,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61,61,4%,,,,,,,,,,,,,,,,,,,,,,,,,-2.775,53,0.1%,,,,,,,,,,,,,,,,
CLRP 3069,08/22,3069Q DA CLR,G,REMP 816,-0.84,44,22%,82.57,64,25%,,,,,,,2.10,73,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,70,5%,,,,,,,,,,,,,,,,,,,,,,,,,-2.771,65,0.1%,,,,,,,,,,,,,,,,
MNS 11923,09/21,11923 FIV ALO BRASIL,G,REMP 816,-0.94,37,17%,82.33,57,25%,,,,,,,1.58,68,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,66,9%,,,,,,,,,,,,,,,,,,,,,,,,,-2.764,59,0.1%,,,,,,,,,,,,,,,,
KAT 6063,10/22,6063 KATISPERA,G,REMP 816,-1.11,44,9%,80.39,63,33%,,,,,,,2.76,73,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.24,70,2%,,,,,,,,,,,,,,,,,,,,,,,,,-2.753,64,0.1%,,,,,,,,,,,,,,,,
FANO 4415,10/22,GRADIL DA AGRONOVA,G,REMP 816,-1.38,44,3%,87.71,63,8%,,,,,,,2.38,73,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,70,3%,,,,,,,,,,,,,,,,,,,,,,,,,-2.745,64,0.1%,,,,,,,,,,,,,,,,
FLPE 10741,12/22,10741 FIV DA COMETA,G,REMP 816,-0.92,42,18%,77.61,62,44%,,,,,,,2.00,72,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,69,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,-2.741,63,0.1%,,,,,,,,,,,,,,,,
KAT 6280,11/22,6280 FIV KATISPERA,G,REM A1936,-1.15,42,8%,85.27,61,15%,,,,,,,1.79,71,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,68,5%,,,,,,,,,,,,,,,,,,,,,,,,,-2.712,62,0.1%,,,,,,,,,,,,,,,,
FGP A3726,09/22,A3726 GUADALUPE,G,REM A7,-1.15,47,8%,87.11,65,10%,,,,,,,1.86,74,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,71,12%,,,,,,,,,,,,,,,,,,,,,,,,,-2.710,65,0.1%,,,,,,,,,,,,,,,,
LCCF 1160,08/21,1160G DA ARZ,G,BONS 3108,-1.12,40,9%,87.73,59,8%,,,,,,,1.66,69,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,66,3%,,,,,,,,,,,,,,,,,,,,,,,,,-2.700,60,0.1%,,,,,,,,,,,,,,,,
REMC A4288,08/21,REM4288L GENETICA ADI,G,REMP 816,-1.08,69,10%,90.46,82,3%,,,,,,,1.54,87,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,85,8%,,,,,,,,,,,,,,,,,,,,,,,,,-2.698,82,0.1%,,,,,,,,,,,,,,,,
OEVZ 79,11/21,BACURI FIV DO VERDI,G,REMP 816,-0.95,37,16%,85.33,56,15%,,,,,,,2.18,67,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,64,7%,,,,,,,,,,,,,,,,,,,,,,,,,-2.694,58,0.1%,,,,,,,,,,,,,,,,
XIKU 9784,08/22,JAMBO,G,REMP 816,-0.59,36,40%,78.48,56,40%,,,,,,,2.09,67,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,64,8%,,,,,,,,,,,,,,,,,,,,,,,,,-2.690,57,0.1%,,,,,,,,,,,,,,,,
EAO B7661,09/21,B7661 FIV DA EAO (EST,G,REM A7,-1.28,43,4%,88.10,61,7%,,,,,,,2.96,70,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62,69,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,-2.689,61,0.1%,,,,,,,,,,,,,,,,
VCA 7592,08/21,7592 FIV PO DA VC,G,BONS 3108,-0.87,69,21%,80.63,82,32%,,,,,,,1.79,87,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,85,7%,,,,,,,,,,,,,,,,,,,,,,,,,-2.685,82,0.1%,,,,,,,,,,,,,,,,
XIKU 9725,08/22,JAIBARA,G,REMP 816,-0.80,39,25%,79.04,59,38%,,,,,,,2.42,69,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,66,5%,,,,,,,,,,,,,,,,,,,,,,,,,-2.675,60,0.1%,,,,,,,,,,,,,,,,
FLOC 851,11/22,FLOC 851,G,REMP 816,-0.51,39,46%,75.09,59,53%,,,,,,,2.16,70,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,66,1%,,,,,,,,,,,,,,,,,,,,,,,,,-2.661,60,0.1%,,,,,,,,,,,,,,,,
SAMI 883,01/23,883 FIV DO SAMI,G,-1.23,30,6%,84.82,52,16%,2.50,,,,,,,63,0.1%,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.5%,-2.660,,,,,,,,,,,,,,,,,,,,,,,,,52,0.1%,,,,,,,,,,,,,,,,,
HGA 2361,09/21,2361 FIV DE HB,G,REMP 816,-0.64,37,36%,86.02,57,13%,,,,,,,1.29,68,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,66,6%,,,,,,,,,,,,,,,,,,,,,,,,,-2.650,59,0.1%,,,,,,,,,,,,,,,,
MCPJ 8259,08/22,8259P FIV JMP,G,IPB 6732,,,,90.63,54,3%,92.18,48,2%,7.55,37,0.1%,1.51,65,3%,,,39.71,53,0.1%,,,,,,,53.37,62,0.1%,,,,,,,,,,,,,,,,,4.48,61,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCCF 1586,10/22,1586H DA ARZ,G,KAT 3881,,,,85.55,55,14%,93.01,48,1%,5.09,38,1%,1.78,66,1%,,,37.96,54,0.1%,,,,,,,48.16,63,0.1%,,,,,,,,,,,,,,,,,4.97,63,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINO 3672,05/23,J3672 SINO,G,SINO 1730,,,,85.74,59,13%,84.68,53,12%,3.16,42,8%,1.56,70,2%,,,37.83,59,0.1%,,,,,,,49.80,67,0.1%,,,,,,,,,,,,,,,,,6.03,67,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGP A3779,10/22,A3779 FIV GUADALUPE,G,FANO 2762,,,,86.29,58,12%,87.62,51,7%,7.84,41,0.1%,1.61,68,2%,,,37.67,57,0.1%,,,,,,,48.32,65,0.1%,,,,,,,,,,,,,,,,,4.92,65,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANO 2995,09/20,ESTUDANTE DA AGRONOVA G,,FANO 1509,,,,86.90,60,10%,88.54,53,6%,3.77,43,4%,2.00,69,0.5%,,,37.31,59,0.1%,,,,,,,47.96,66,0.1%,,,,,,,,,,,,,,,,,5.11,68,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCPJ 8108,07/22,8108S FIV JMP,G,REM A1576,,,,89.35,59,5%,93.69,52,0.5%,6.17,43,0.5%,2.13,69,0.5%,,,37.11,58,0.1%,,,,,,,41.50,66,0.1%,,,,,,,,,,,,,,,,,6.01,66,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
