RG,NASC mês/ano,NOME,GEN,PAI,IPP DEP,IPP AC,IPP TOP,3P DEP,3P AC,3P TOP,STAY DEP,STAY AC,STAY TOP,MP120 DEP,MP120 AC,MP120 TOP,PE365 DEP,PE365 AC,PE365 TOP,NF 3P,NR 3P,MGTe VAL,MGTe AC,MGTe TOP,PAC DEP,PAC AC,PAC TOP,MP210 DEP,MP210 AC,MP210 TOP,P450 DEP,P450 AC,P450 TOP,NN 120,NRN 120,P120 DEP,P120 AC,P120 TOP,P210 DEP,P210 AC,P210 TOP,NF 210,NR 210,NF 450,NR 450,NF,PE365,NR,STAY,AOL DEP,AOL AC,AOL TOP,ACAB DEP,ACAB AC,ACAB TOP,US,MAR DEP,MAR AC,MAR TOP,MAR,ES DEP,ES AC,ES TOP,PS DEP,PS AC,PS TOP,MS DEP,MS AC,MS TOP,SAMS,CAR DEP,CAR AC,CAR TOP,IMS DEP,IMS AC,IMS TOP,IPM DEP,IPM AC,IPM TOP,MGTe_CR DEP,MGTe_CR AC,MGTe_CR TOP,MGTe_RE DEP,MGTe_RE AC,MGTe_RE TOP,MGTe_CO DEP,MGTe_CO AC,MGTe_CO TOP,MGTe_F1 DEP,MGTe_F1 AC,MGTe_F1 TOP,IPP,P365 DEP,P365 AC,P365 TOP
181594EE,10/18,181594 DE ESPIRITU,G,131146EE,0.33,16,95%,,,,56.19,19,22%,,,,1.02,58,0.5%,,,5%,,,,,,,,,8.16,63,12%,,,,,,4.83,56,16%,,,,,24,37,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUAT 12,09/05,MR J4 12,,801161,-1.03,22,2%,,,,60.96,27,11%,,,,1.01,65,0.5%,,,8%,,,,,,,,,6.77,72,17%,,,,,,3.32,65,30%,,,,,55,44,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRO 806,11/12,MR BR 77 806 FIV,G,727046,-0.13,55,37%,,,,41.74,66,94%,,,,0.97,83,1%,,,18%,,,,,,,,,9.93,85,7%,,,,,,8.39,80,2%,,,,,115,73,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRO 1270,10/15,MR BR 77 1270,G,AMRO 806,0.06,57,74%,,,,41.74,65,94%,,,,0.96,85,1%,,,20%,,,,,,,,,7.10,86,16%,,,,,,9.65,82,1%,,,,,180,74,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRCL 694,11/11,MR BCOL FRATELLO,,GOOD 92,-0.63,26,10%,,,,59.70,17,13%,,,,0.91,58,1%,,,0.5%,,,,,,,,,12.38,65,3%,,,,,,12.78,58,0.1%,,,,,32,37,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181116EE,09/18,181116 DE ESPIRITU,G,150533EE,0.29,12,93%,,,,58.32,12,16%,,,,0.89,64,1%,,,4%,,,,,,,,,6.78,67,17%,,,,,,7.44,60,4%,,,,,44,36,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOG 1916,03/17,1916 NOGAL DEL RIO,,1551,-0.17,7,34%,,,,46.91,12,80%,,,,0.86,41,1%,,,14%,,,,,,,,,6.45,53,18%,,,,,,5.31,45,13%,,,,,7,27,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160732EE,09/16,160732 DE ESPIRITU,G,120238EE,-0.05,10,48%,,,,63.18,13,7%,,,,0.85,45,2%,,,0.1%,,,,,,,,,13.76,49,2%,,,,,,7.82,45,3%,,,,,9,28,14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROAB 184,01/17,FIV184,,MTK 43,-0.09,3,42%,,,,55.59,4,25%,,,,0.82,25,2%,,,5%,,,,,,,,,10.72,34,6%,,,,,,6.98,22,6%,,,,,6,15,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160191EE,08/16,160191 DE ESPIRITU,G,100826EE,0.37,31,97%,,,,68.84,18,2%,,,,0.80,69,2%,,,3%,,,,,,,,,4.64,74,28%,,,,,,-0.29,68,79%,,,,,64,44,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
