nome_touro,nome_touro_alta,codigo_touro,raca,data_preco,preco_ajustado_reais,data_prova,fonte_prova_url,TPI,NM$,CM$,Leite,Proteína,Proteína%,Gordura,Gordura%,CGP,Pconf,PTAT,JUI,FLC,Tconf,PL,DPR,SCS,SCE,DCE,NMT,DSB,CCR,HCR,aAa,DMS
PANTHER 2.877 732 81 1.05 1.56 0.78 2.1% GENOMAX / GRAZINGPRO MAESTRO CHALLENGER,PANTHER,200HO12066,LEITE IMPORTADO,2023-08-01,105.24,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12066,2875,844,861,725,45,0.08,85,0.2,130,81,1.12,1.64,0.87,80,4.5,0.6,2.79,2.0,2.1,6.4,5.2,2.0,0.7,,
"BRUNSWICK 2.724 546 82 0.25 0.85 -0,26 1.6% GENOMAX / GRAZINGPRO / SEMEXX / IMMUNITY+ MAESTRO JARED",BRUNSWICK,200HO12083,HOLANDÊS PRETO E BRANCO,2023-08-01,95.06,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12083,2696,802,822,509,40,0.08,52,0.11,92,83,0.24,0.91,-0.3,82,6.5,0.8,2.66,1.5,1.7,5.1,4.3,2.1,1.0,,
HUMORIST 2.767 627 82 0.85 1.40 0.05 1.9% GENOMAX / GRAZINGPRO / SEMEXX / IMMUNITY+ HEROIC SKYWALKER,HUMORIST,200HO12084,LEITE IMPORTADO,2023-08-01,76.95,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12084,2781,811,826,734,41,0.06,78,0.17,119,82,0.87,1.44,0.08,80,5.0,0.8,2.78,1.8,1.7,5.7,4.9,2.6,0.8,,
"REDWINGS-RED 2.642 1.067 81 1.47 1.24 -0,03 2.3% GENOMAX / ROBOTREADY / SEMEXX / IMMUNITY+ SWINGMAN-RED SALVATORE",REDWINGS-RED,200HO12089,LEITE IMPORTADO,2023-08-01,148.24,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12089,2612,695,702,1030,29,-0.01,54,0.05,83,82,1.38,1.15,-0.06,81,6.0,-0.6,2.59,2.3,2.5,6.1,5.0,-0.5,-0.5,,
TIJERAS 2.790 623 81 1.53 2.34 0.80 2.1% GENOMAX / ROBOTREADY / A2A2 / SEMEXX / IMMUNITY+ ARISTOCRAT ELDORADO,TIJERAS,200HO12092,LEITE IMPORTADO,2023-08-01,87.13,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12092,2806,807,822,672,35,0.05,57,0.11,92,82,1.48,2.27,0.77,80,5.9,0.8,2.67,2.0,1.3,5.6,4.0,1.4,1.2,,
MILLWRIGHT 2.928 1.165 82 0.93 1.79 0.06 1.9% GENOMAX / GRAZINGPRO / SEMEXX / IMMUNITY+ EINSTEIN MEDLEY,MILLWRIGHT,200HO12118,LEITE IMPORTADO,2023-08-01,65.63,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO12118,2930,974,991,1183,52,0.05,79,0.11,131,82,0.91,1.75,-0.16,80,6.5,0.9,2.6,1.9,2.0,5.8,4.4,2.9,0.8,,
BUSTOP 2.311 -564 99 0.48 1.46 0.46 2.7% A2A2 SUPERSIRE DORCY,BUSTOP,200HO10189,HOLANDÊS PRETO E BRANCO,2023-09-01,25.97,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10189,2311,264,280,-564,0,0.06,29,0.18,29,99,0.48,1.46,0.46,95,1.9,0.4,2.71,2.7,2.1,5.6,4.5,1.0,-0.5,,
"HIGH OCTANE 2.114 1.162 99 2.36 2.09 -2,3 2.9% SHOWTIME MCCUTCHEN OBSERVER",HIGH OCTANE,200HO10363,LEITE IMPORTADO,2023-09-01,93.14,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10363,2115,-154,-162,1162,16,-0.07,9,-0.12,25,99,2.36,2.09,0.6,99,-1.3,-2.3,2.86,2.9,2.8,8.3,7.7,-2.3,-1.3,,
ORION 2.554 1.276 99 1.84 1.92 0.6 2.0% SHOWTIME KINGBOY MOGUL,ORION,200HO10457,LEITE IMPORTADO,2023-09-01,77.9,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10457,2554,489,485,1276,26,-0.05,45,-0.01,71,99,1.84,1.92,0.25,99,3.2,0.6,2.81,2.0,2.5,5.8,5.5,1.4,1.9,,
COPIOUS 2.494 1.995 99 1.27 1.03 0.09 2.0% BOMBERO MORGAN,COPIOUS,200HO10573,HOLANDÊS PRETO E BRANCO,2023-09-01,56.0,2023-08-01,https://bullsearch.altagenetics.com/brasil/BS/Bull/200HO10573,2494,465,457,1995,47,-0.05,34,-0.14,81,99,1.27,1.03,0.09,93,2.9,-0.5,3.02,2.0,1.9,7.4,4.9,0.2,0.8,,
