nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
EFFINGHAM'S RED K99,IA23,1978,,,,,,,23805,,7,71,"-0,29","0,26",33,"-0,66","0,61",81,"-1,71","0,31",96,108,"-0,06",84,"-0,22",99,"-0,21",99,"-0,23",99,"0,13",99,,87,7,60,"-3,10","0,50",94,"-3,77",90,"-0,05",84,"-0,14",97,"-0,23",99,"-0,21",99,"0,16",99,"-0,23","0,16",85,"-10,72",95
SAUDADE 398,54281,1997,M,,,,,PC,2021,,2,41,"-0,43","0,49",22,"-5,22","0,51",99,,,,,"0,02",61,"0,02",54,"0,01",63,"-0,12",96,"0,02",58,,95,2,41,"-1,80","0,40",90,"-7,02",99,"0,03",61,"0,06",43,"0,04",53,"-0,06",84,"0,01",52,"-0,16","0,17",80,"-10,99",95
GARUPÁ 7884-G7090 TORPEDO,57388,2010,,,,,,F,57,,2,27,"-0,96","0,19",8,"-1,79","0,44",89,"0,50","0,14",27,9,"-0,18",99,"-0,26",99,"-0,22",99,"-0,13",98,"0,13",99,,94,2,23,"0,78","0,32",67,"-1,01",84,"-0,20",99,"-0,26",99,"-0,26",99,"-0,12",96,"0,12",99,"-0,08","0,38",74,"-11,80",95
TIMBAÚBA STONEGROVE 800,59386,2011,M,,,,,PO,1896,,6,23,"-0,76","0,24",12,"-4,43","0,38",98,"-0,18","0,09",55,11,"-0,02",76,"-0,00",65,"0,02",55,"-0,07",85,"0,05",81,,94,5,20,"-2,84","0,28",94,"-7,28",99,"-0,07",87,"-0,04",77,"0,01",64,"-0,09",88,"0,08",93,"-0,09","0,28",76,"-14,46",96
PALMEIRA NOYL BOY 558,37893,1996,,,,,,,1877,,2,95,"-0,14","0,59",39,"-0,07","0,64",77,"-1,25","0,25",90,76,"-0,05",82,"0,01",61,"-0,04",79,"-0,10",92,"-0,15",2,,80,2,84,"-4,98","0,53",99,"-5,05",95,"-0,10",92,"-0,06",82,"-0,09",88,"-0,13",98,"-0,17",2,"-0,64","0,40",98,"-15,13",98
PALMEIRA J347,43839,1990,,,,,,CR,1877,,2,145,"0,18","0,58",64,"-3,01","0,67",95,"-2,42","0,25",98,59,"-0,13",96,"-0,09",90,"-0,12",97,"-0,04",79,"-0,01",30,,95,2,182,"-3,39","0,60",95,"-6,40",97,"-0,14",95,"-0,11",93,"-0,11",92,"-0,03",77,"-0,01",31,"-0,10","0,11",77,"-17,56",98
SÃO VALENTIN PROGRESSION 1623,58508,2011,,,,,,,1991,,8,74,"-0,90","0,29",9,"-1,74","0,59",89,"-0,35","0,11",62,13,"-0,12",93,"-0,06",84,"-0,04",80,"-0,24",99,"0,08",94,,92,7,54,"-5,10","0,44",99,"-6,84",97,"-0,16",97,"-0,05",80,"-0,07",86,"-0,35",99,"0,09",96,"-0,21","0,45",83,"-19,12",99
ROTOKAWA DE SANTA LÚCIA 1905,56646,2009,,,,,,,17224,,2,30,"0,10","0,16",60,"-3,36","0,41",95,"-0,34","0,13",62,15,"-0,16",97,"-0,25",99,"-0,17",99,"-0,11",96,"-0,01",30,,96,2,25,"-6,30","0,31",99,"-9,67",99,"-0,19",98,"-0,22",98,"-0,19",99,"-0,09",92,,,"-1,21","0,34",99,"-28,05",99
BEMERSYDE MAGNATE,IA19,1976,,,,,,CR,23805,,4,37,"0,20","0,15",66,"-8,01","0,52",99,"-4,29","0,22",99,71,"-0,15",96,"-0,13",96,"-0,20",99,"-0,20",99,"-0,23",1,,99,3,31,"-3,92","0,40",97,"-11,93",99,"-0,18",97,"-0,09",89,"-0,23",99,"-0,20",99,"-0,25",1,"-0,69","0,14",99,"-28,32",99
HANSNETT HAMILTON,IA39,2006,,,,,,CR,23805,,4,35,"-0,66","0,37",15,"-7,44","0,39",99,"0,21","0,04",42,14,"-0,15",96,"-0,06",82,"-0,06",83,"-0,40",99,"0,01",52,,99,3,12,"-7,29","0,20",99,"-14,73",99,"-0,18",97,"-0,07",84,"-0,07",87,"-0,39",99,"0,02",57,"-0,36","0,18",91,"-31,92",99
DIMITRE DE SÃO LUIZ,67393,2015,M,,,,,PO,2127,,3,28,"3,69","0,32",99,"-18,31","0,30",99,,,,,"-0,41",99,"0,03",49,"0,01",63,"-0,04",78,"0,01",49,,99,1,7,"-7,89","0,09",99,"-26,20",99,"-0,40",99,"0,06",41,"0,01",61,"-0,02",74,"0,02",53,"-0,64","0,04",99,"-59,05",99
