nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
WC BIG BEN 9036 P BIG BEM,IA-403,2009,M,,,,,IMP,,A,2,64,"-0,03","0,52",47,"3,8","0,51",30,"1,29","0,19",21,37,"0,04",43,"-0,06",78,"0,05",37,"0,13",25,"-0,02",18,"12,12",33,2,37,"1,35","0,26",39,"5,15",31,"-0,01",64,"-0,11",86,,60,"0,07",35,,,"0,19","0,42",36,"9,69",36
EPSOM,IA-210,1989,,,,,,A,,,3,25,"0,75","0,42",87,"-0,03","0,4",65,"1,3","0,08",20,12,"0,14",15,"0,09",28,"0,14",17,"0,19",16,"-0,02",15,"5,46",46,3,9,"0,38","0,13",58,"0,35",61,"0,16",12,"0,14",17,"0,18",16,"0,22",12,"-0,02",12,"0,16","0,13",39,"8,84",39
GRANDIO DANTE D1843,O38673,1983,,,,,,A,12652,PO,9,160,"0,95","0,53",95,"2,38","0,65",39,"1,12","0,31",23,115,"0,09",29,"-0,01",60,"-0,01",61,"0,2",11,"-0,04",8,"10,13",35,6,108,"0,65","0,33",52,"3,03",45,"0,04",41,"-0,06",77,"-0,07",85,"0,13",25,"-0,03",8,"0,12","0,2",42,"8,59",40
SABRITO HINDÚ PALADIN JACQUARD,O107173,2008,M,,,,,PO,1546,,1,73,"-0,47","0,51",21,"-0,37","0,5",72,"1,44","0,04",14,4,"0,11",22,"0,13",17,"0,11",24,"-0,16",90,"0,01",,"3,33",50,1,70,"-1,43","0,27",81,"-1,79",74,"0,15",14,"0,12",20,"0,09",28,"-0,15",89,,,"0,96","0,42",2,"7,05",43
JOTABÊ INTIMIDATOR 5357 BR # INTIMIDATOR,O117925,2013,M,,,,,PO,18756,"P, T",3,51,"0,79","0,47",90,"1,47","0,46",46,"0,69","0,04",25,1,"-0,04",70,"-0,15",91,"-0,03",74,"0,22",8,"0,01",90,"2,15",56,2,21,"2,23","0,19",28,"3,7",40,"0,01",54,"-0,07",83,"0,01",53,"0,3",3,,,"0,38","0,28",17,"6,89",45
LT BLUEGRASS 4017P,IA-351A,2004,M,,,,,IMP,,,8,470,"-1,31","0,67",3,"1,03","0,75",50,"3,95","0,43",2,299,"0,14",14,"0,09",27,"0,18",10,"0,1",30,"-0,03",,"8,72",41,6,277,"-1,18","0,39",78,"-0,15",67,"0,11",24,"0,08",27,"0,19",14,"0,03",42,,,"0,15","0,43",40,"6,57",47
SABRITO ESTILO MALICIEUX PINAY TARUMÃ,O120976,2015,M,,,,,PO,21140,Y,1,36,"0,15","0,38",55,"1,34","0,36",47,,,,,"0,15",12,"0,26",5,"0,19",6,"0,05",39,,,"9,87",36,1,13,"-0,85","0,13",77,"0,49",59,"0,12",18,"0,22",6,"0,19",11,,55,,,"-0,32","0,22",86,"6,08",48
QUERÊNCIA 2409 DETROIS,O113754,2012,M,,,,,PO,560,,2,41,"0,44","0,43",74,"-0,33","0,41",71,,,,,"-0,06",79,"-0,15",93,"-0,1",91,"-0,05",67,"0,08",99,"-4,29",74,2,16,"2,42","0,15",24,"2,09",49,"-0,02",68,"-0,11",87,"-0,11",90,"-0,02",60,"0,08",99,"0,32","0,21",21,"2,53",56
SABRITOAMIGO MALICIEUX PALADIN,O112576,2011,,,,,,D,1546,PO,1,52,"-0,39","0,48",24,"-3,68","0,46",87,"3,08","0,11",3,21,"0,2",4,"0,2",6,"0,17",12,"-0,11",83,,,"-2,25",67,1,51,"-2,2","0,19",86,"-5,88",87,"0,23",3,"0,29",4,"0,27",4,"-0,08",80,,,"-0,32","0,32",85,"-0,13",60
SABRITOALEMÃO MALICIEUX PALADIN,O112575,2011,,,,,,D,1546,PO,2,88,"-0,23","0,5",31,"0,34","0,49",59,"2,41","0,08",5,11,"0,07",33,"0,08",31,"0,09",30,"0,25",4,,,"3,74",49,2,87,"-0,81","0,3",75,"-0,47",70,"0,01",56,"0,05",45,"0,07",34,"0,29",4,,,"-0,39","0,41",92,"-0,75",62
SABRITO ÍTALO PALADIN EXCLUSIF,O108735,2009,M,,,,,PO,1546,,3,117,"0,87","0,45",91,"-0,55","0,44",74,"0,61","0,06",28,5,"-0,05",73,"-0,12",86,"-0,05",81,"0,2",15,,77,"-4,3",75,3,98,"0,6","0,26",55,"0,05",64,"-0,02",67,"-0,08",85,"-0,04",78,"0,23",10,,73,"0,26","0,37",25,"-1,05",65
