nome_touro,registro,ano_nasc,var_mocha,geracao,grau_sangue,raca2_marcador,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
MADRAGA S596,C0200808,2012,,,,,,PC,7571,,1,42,"1,31","0,41",95,"0,13","0,38",70,,,,,"0,11",36,"0,24",11,"0,08",41,"0,05",49,"-0,01",27,"3,84",57,,0,"-0,39","0,08",73,"-0,26",72,"0,12",36,"0,2",14,"0,08",42,"0,06",46,,,"-0,05","0,24",68,"3,77",56
MAAC BERNARDWISDOM 5221,O236682,2010,,,,,,PO,,,2,23,"0,46","0,37",72,"2,16","0,4",43,"-2,11","0,05",96,1,"-0,03",78,,67,"-0,07",85,"0,04",52,"-0,03",18,"3,69",58,1,12,"1,38","0,15",42,"3,54",42,"-0,03",77,,66,"-0,07",82,"0,04",51,"-0,04",15,"0,17","0,22",43,"3,6",57
LAS LILAS X65 HAROLDSON MAINLINE RAFIS,IA-401,1993,,,,,,IMP,,,1,34,"-0,16","0,16",33,"1,82","0,43",46,"0,85","0,09",13,19,"0,01",68,"-0,13",93,"0,02",66,"0,13",25,,,"4,15",56,1,21,"1,01","0,18",46,"2,84",47,"0,02",62,"-0,1",91,"0,04",54,"0,15",25,,,"-0,09","0,09",72,"3,6",57
TRANQUERAS X1573 BN BIENVENIDOTE BIENVENIDO,IA-440,1998,,,,,,IMP,,,9,173,"0,78","0,67",86,"2,45","0,7",40,"-1,34","0,28",90,85,"0,09",41,"0,06",46,"0,05",53,"-0,01",73,,59,"8,85",39,7,110,"-2,84","0,41",95,"-0,39",73,"0,02",64,"-0,01",69,"0,04",55,"-0,01",72,,,"0,83","0,36",7,"3,51",58
SHF PROGRESS P20 PROGRESS,IA-471,2004,,,,,,IMP,,,7,161,"-1,19","0,64",4,"0,55","0,62",65,"1,65","0,18",7,49,"0,04",58,"0,03",58,"0,09",39,"-0,09",88,"0,06",96,"2,12",63,4,113,"0,49","0,33",58,"1,04",63,"0,05",56,"0,06",46,"0,13",30,"-0,1",87,"0,08",96,"0,25","0,41",35,"3,47",58
MAAC LEE DURANGO 5633,O244709,2014,,,,,,PO,18830,,1,48,"-0,08","0,42",36,"3,17","0,41",33,,,,,"0,03",61,"0,01",64,"-0,03",77,"0,1",32,"0,03",90,"8,11",41,1,34,"-1,45","0,17",85,"1,72",56,"0,03",60,"-0,03",73,"-0,06",82,"0,11",33,"0,04",90,"0,22","0,27",37,"3,27",59
MAUA INVASOR DO PONTAL 3619,O238449,2011,,,,,,PO,2427,,3,35,"0,57","0,42",76,"-1,01","0,4",80,"-0,84","0,1",84,10,"0,19",17,"0,17",21,"0,15",18,,65,,,"4,06",56,3,28,"-1,27","0,17",83,"-2,28",83,"0,21",17,"0,14",26,"0,15",26,"-0,04",78,,,"-0,49","0,41",95,"3,16",60
GARUPA 6225 JUCA FININHO 25,O197010,1989,,,,,,PO,,,2,21,"-0,35","0,09",23,"0,31","0,42",69,"-1,34","0,05",89,4,"0,05",53,"0,04",53,"0,12",28,"0,17",20,,,"2,2",63,2,11,"0,77","0,21",52,"1,08",63,"0,05",56,"0,03",56,"0,12",33,"0,18",20,,,"-0,01","0,09",63,"3,13",60
MAAC LAUREENWISDOM 5199,O236665,2010,,,,,,PO,2226,,2,35,"0,48","0,42",73,"-0,01","0,45",71,,,,,,71,"0,03",56,"0,01",67,"0,05",49,"-0,08",5,"-0,56",73,1,23,"2,9","0,16",23,"2,89",46,"-0,03",79,"0,02",57,"0,01",66,"0,03",59,"-0,09",5,"0,03","0,29",55,"3,13",60
SHF RIB EYE M326 R117 RIBEYE,IA-505,2005,,,,,,IMP,,,12,578,"-0,97","0,79",6,"4,08","0,79",24,"-2,78","0,35",98,155,"0,05",54,"0,03",57,"0,01",69,,65,"-0,01",31,"11,09",35,11,396,"-2,85","0,51",95,"1,23",61,"-0,03",79,"0,03",54,"-0,07",83,"-0,03",76,"-0,03",18,"0,73","0,69",10,"3,12",61
