nome_touro,registro,ano_nasc,var_mocha,pelagem,categoria,criador_codigo,fornecedor_semen_cod,reb_desm,nf_desm,pn_dep,pn_acuracia,pn_percentil,gnd_direto_dep,gnd_direto_acuracia,gnd_direto_percentil,gnd_materno_dep,gnd_materno_acuracia,gnd_materno_percentil,netos,conformacao_desm_dep,conformacao_desm_percentil,precocidade_desm_dep,precocidade_desm_percentil,musculatura_desm_dep,musculatura_desm_percentil,tamanho_desm_dep,tamanho_desm_percentil,pelame_desm_dep,pelame_desm_percentil,indice_desmama,indice_desmama_percentil,reb_sobreano,nf_sobreano,gds_dep,gds_acuracia,gds_percentil,gns_dep,gns_percentil,conformacao_sobr_dep,conformacao_sobr_percentil,precocidade_sobr_dep,precocidade_sobr_percentil,musculatura_sobr_dep,musculatura_sobr_percentil,tamanho_sobr_dep,tamanho_sobr_percentil,pelame_sobr_dep,pelame_sobr_percentil,perimetro_escrotal_dep,perimetro_escrotal_acuracia,perimetro_escrotal_percentil,indice_final,indice_final_percentil
SANTA EULÁLIA 1177,C293068,2008,,P,PC,95,,2,22,"0,2","0,4",57,"2,6","0,38",41,"0,15","0,14",38,6,"0,01",71,"0,04",56,"0,05",52,0,66,"0,07",84,"5,6",51,2,22,"1,79","0,19",40,"4,38",41,"0,01",69,"-0,03",80,"0,08",46,"-0,04",77,"0,07",83,"-0,15","0,24",78,"4,73",53
GAR ANTICIPATION,IA-1546,2011,,P,IMP,,,1,41,"-0,41","0,49",16,"0,52","0,47",65,"-0,74","0,05",71,7,"-0,05",86,"-0,18",98,"-0,12",96,"0,26",5,"-0,31",1,"-1,65",74,1,36,"2,99","0,25",26,"3,52",47,"0,01",70,"-0,09",92,"-0,06",87,"0,36",1,"-0,33",1,"0,53","0,39",18,"4,7",54
HW99 HERALDO DE 04 FIELD DAY,O149792,2011,,V,PO,18650,,2,54,"-0,45","0,59",14,"2,67","0,57",41,"-1,16","0,14",77,4,"0,03",64,"-0,1",92,"-0,03",80,"0,07",40,"0,06",81,"6,57",47,2,33,"0,39","0,32",59,"3,07",50,"0,02",66,"-0,02",75,"-0,04",82,"0,09",31,"0,07",84,"0,26","0,34",39,"4,69",54
PAINEIRAS LUCKY ZORZAL TE5294,O136796,2009,,P,PO,14028,,3,190,"0,58","0,61",80,"3,13","0,68",35,"-2,03","0,27",90,53,"0,04",60,"0,03",58,"0,04",57,"0,07",39,"-0,09",14,"8,1",42,3,154,"-0,06","0,38",65,"3,08",49,"0,02",65,0,67,"0,04",58,"0,03",53,"-0,1",15,"0,18","0,61",45,"4,65",54
TRES MARIAS 6927 PUCARA TE PUCARÁ,IA-929,2003,,V,IMP,,,51,488,"1,36","0,77",98,"0,45","0,81",66,"-1,86","0,45",88,237,"0,11",34,"0,07",47,"0,19",14,"0,1",29,"-0,04",29,"4,14",55,43,353,"-1,46","0,56",84,"-1,01",75,"0,18",18,"0,1",32,"0,27",8,"0,08",35,"-0,05",28,"0,38","0,73",27,"4,59",54
CARUMBÉ RED QUEBRANTADOR 1351,O142953,2010,,V,PO,18551,,1,35,,,,"0,47","0,47",65,"-4,31","0,17",99,5,"0,16",18,"0,07",47,"0,15",22,"0,06",43,0,49,"6,23",49,1,32,"-1,13","0,29",81,"-0,66",73,"0,16",23,"0,08",40,"0,19",20,"0,02",54,"0,03",68,"-0,05","0,37",69,"4,53",54
ESPINILHO 1326,O168500,2013,,V,PO,14550,,1,25,,,,"2,78","0,45",40,"0,9","0,11",20,1,"0,06",51,"0,08",43,"0,17",17,"0,03",53,"0,08",88,"8,12",42,1,14,"0,37","0,25",60,"3,15",49,"0,02",64,0,69,"0,17",22,"0,02",53,"0,1",91,"-0,11","0,33",75,"4,51",54
GAP R223,C270030,2007,,V,PC,2555,,1,64,"0,48","0,62",74,"0,69","0,61",63,"-3,88","0,24",99,24,"0,11",32,"0,21",12,"0,15",21,,,"0,03",67,"4,89",53,1,43,"0,01","0,4",64,"0,7",64,"0,12",35,"0,2",12,"0,18",20,,,"-0,04",31,"-0,08","0,46",71,"4,42",55
CONSENSUS TE 2352 TELLECHEA,O181085,2014,,P,PO,18551,,1,87,"0,05","0,61",45,"2,87","0,58",39,,,,,"0,07",48,0,68,"0,08",44,"0,01",59,"0,02",64,"8,63",40,1,67,"-0,52","0,24",71,"2,36",54,"0,04",60,"-0,02",77,"0,05",57,"-0,01",66,"0,02",61,"0,09","0,47",54,"4,37",55
JUQUIRY BLACK J05 GENERAL TEIC22,O171403,2012,,P,PO,18553,,2,42,"0,49","0,29",75,"0,96","0,47",60,"-0,74","0,08",71,8,"0,12",30,"0,09",41,"0,13",28,"0,08",35,"0,09",91,"5,72",51,2,39,"-0,24","0,26",68,"0,71",64,"0,1",39,"0,08",40,"0,14",30,"0,09",31,"0,08",87,"-0,04","0,39",68,"4,34",55
