reg_code,pedigree_name,reg_no,born,owner,CED_EPD,BW_EPD,WW_EPD,YW_EPD,RADG_EPD,DMI_EPD,YH_EPD,SC_EPD,DOC_EPD,CLAW_EPD,ANGLE_EPD,PAP_EPD,HP_EPD,CEM_EPD,MILK_EPD,MKH_EPD,MW_EPD,MH_EPD,$EN_EPD,CW_EPD,MARB_EPD,RE_EPD,FAT_EPD,$M_EPD,$F_EPD,$G_EPD,$B_EPD,$C_EPD,CED_ACC,BW_ACC,WW_ACC,YW_ACC,RADG_ACC,DMI_ACC,YH_ACC,SC_ACC,DOC_ACC,CLAW_ACC,ANGLE_ACC,PAP_ACC,HP_ACC,CEM_ACC,MILK_ACC,MKH_ACC,MW_ACC,MH_ACC,$EN_ACC,CW_ACC,MARB_ACC,RE_ACC,FAT_ACC,$M_ACC,$F_ACC,$G_ACC,$B_ACC,$C_ACC,CED_RANK,BW_RANK,WW_RANK,YW_RANK,RADG_RANK,DMI_RANK,YH_RANK,SC_RANK,DOC_RANK,CLAW_RANK,ANGLE_RANK,PAP_RANK,HP_RANK,CEM_RANK,MILK_RANK,MKH_RANK,MW_RANK,MH_RANK,$EN_RANK,CW_RANK,MARB_RANK,RE_RANK,FAT_RANK,$M_RANK,$F_RANK,$G_RANK,$B_RANK,$C_RANK
0200AN10742,MONTANA ELEVATION 7108,18844589,2017/07/01,Montana Ranch LLC,9,1.3,81,145,0.29,1.9,0.7,1.34,18,0.48,0.4,2.15,11.9,13,36,68,0.2,-27,-,53,0.85,0.82,-0.004,80,87,66,153,278,0.38,0.57,0.48,0.41,0.33,0.33,0.50,0.46,0.43,0.29,0.29,0.25,0.26,0.32,0.33,0.40,0.43,-,-,0.41,0.38,0.38,0.35,-,-,-,-,-,30,55,10,5,20,95,35,25,55,40,15,75,55,10,4,45,70,80,-,35,25,20,30,15,45,20,30,15
0200AN10799,POSS TENDERLOIN,19778032,2020/02/10,Peak Dot Ranch & Danny Poss,7,0.8,85,152,0.34,1.08,0.4,0.85,24,0.59,0.44,0.44,10.7,9,32,117,0.5,-48,-,71,1.13,0.63,0.057,53,122,72,194,305,0.50,0.68,0.49,0.44,0.33,0.33,0.52,0.49,0.36,0.31,0.31,0.25,0.24,0.33,0.34,0.38,0.41,-,-,0.42,0.39,0.38,0.36,-,-,-,-,-,45,40,4,3,2,55,70,55,25,85,30,30,70,45,15,5,40,95,-,10,10,50,95,80,2,10,2,4
0200AN10391,SMX AMPLIFY 042H,20094111,2020/02/29,,7,1.1,87,167,0.41,1.63,1.1,0.61,36,0.38,0.56,6.87,13.8,7,35,110,0.7,-46,-,73,1.07,0.93,-0.002,72,120,78,198,329,0.36,0.52,0.44,0.39,0.35,0.35,0.46,0.42,0.37,0.31,0.31,0.30,0.28,0.33,0.34,0.40,0.43,-,-,0.43,0.39,0.38,0.35,-,-,-,-,-,45,50,3,1,1,90,10,70,1,10,85,95,35,65,10,10,25,95,-,5,10,10,30,30,3,5,2,1
0200AN10110,SMX ENDORSE 070H,20094116,2020/06/08,,1,3.2,102,185,0.36,2.36,1,-0.13,33,0.41,0.42,5,12,8,29,107,0.9,-42,-,88,1.34,0.84,0.011,84,128,88,217,365,0.35,0.50,0.43,0.38,0.34,0.34,0.44,0.40,0.36,0.30,0.30,0.29,0.27,0.32,0.33,0.39,0.42,-,-,0.41,0.38,0.37,0.34,-,-,-,-,-,90,90,1,1,1,95,10,95,2,15,20,95,55,55,30,10,10,95,-,1,-,50,-,2,1,1,-,-
0200AN10840,PINE VIEW MOGUL G241,19502726,2019/01/28,,7,0.5,79,143,0.31,1.4,0.7,0.77,17,0.22,0.35,2.46,14.1,12,37,60,0.5,-24,-,60,1,1.17,-0.055,95,101,82,183,333,0.34,0.49,0.42,0.38,0.31,0.31,0.44,0.41,0.37,0.30,0.30,0.26,0.25,0.33,0.33,0.38,0.38,-,-,0.38,0.35,0.35,0.31,-,-,-,-,-,45,35,10,10,10,75,35,60,55,1,4,80,30,15,3,55,40,70,-,20,-,1,-,5,1,-,-,-
0200AN10447,DE-SU EXPEDITION C151,19698673,"May 31, 2019",,10,1.4,78,144,0.34,1.27,1.2,0.12,20,0.44,0.4,2.43,11.6,9,26,102,1.2,-,-38,79,0.89,0.99,-0.028,60,135,72,207,329,0.35,0.51,0.44,0.39,0.31,0.31,0.43,0.42,0.37,0.25,0.25,0.24,0.19,0.29,0.30,0.34,0.37,-,-,0.38,0.35,0.35,0.31,-,-,-,-,-,20,55,10,10,2,65,3,90,45,25,15,80,60,45,50,15,2,95,-,2,20,10,10,60,1,10,1,1
0200AN10449,DE-SU QUEST C150,19682222,"May 30, 2019",,17,-2.4,72,139,0.33,1.52,0.6,0.27,19,0.46,0.41,1.77,4.8,12,31,47,0.3,-15,-,69,1.08,0.94,-0.007,67,120,79,199,325,0.33,0.49,0.42,0.38,0.29,0.29,0.41,0.41,0.35,0.23,0.23,0.21,0.17,0.28,0.28,0.33,0.35,-,-,0.37,0.33,0.34,0.30,-,-,-,-,-,1,3,20,10,4,85,45,85,50,35,15,65,95,15,20,75,60,45,-,10,10,10,25,40,3,5,2,1
0200AN10446,DE-SU RENEGADE C212,19681248,"October 31, 2019",,11,-1.4,67,122,0.32,0.56,-0.1,1.02,32,0.51,0.33,2.41,9.6,5,35,69,0,-27,-,64,1.32,0.89,0.027,65,123,87,209,336,0.33,0.48,0.41,0.37,0.30,0.30,0.43,0.40,0.35,0.28,0.28,0.24,0.23,0.30,0.31,0.36,0.38,-,-,0.38,0.36,0.35,0.31,-,-,-,-,-,15,10,35,30,5,20,95,40,3,55,2,80,80,85,10,45,85,80,-,15,3,15,70,45,2,2,1,1
0200AN10772,HART HIGH VALUE 9556,19569272,"February 25, 2019",Hart Angus Farm,11,1.9,86,152,0.32,1.47,0.9,0.87,28,0.48,0.42,1.91,8.1,8,29,81,0.8,-30,-,67,0.81,1.07,-0.024,71,106,69,175,298,0.34,0.50,0.43,0.38,0.31,0.31,0.45,0.50,0.37,0.29,0.29,0.26,0.25,0.32,0.34,0.37,0.39,-,-,0.42,0.39,0.39,0.36,-,-,-,-,-,15,65,3,3,5,80,15,50,10,40,20,70,90,55,30,30,15,85,-,10,30,4,10,30,15,15,10,10
0200AN10364,NORFOLK ELECTRIFY 29G,19729942,"March 11, 2019",Hart Angus Farm,14,0.5,79,139,0.3,1.04,0.4,0.78,9,0.62,0.61,0.17,11.3,13,20,73,0.4,-21,-,52,1.44,1.12,-0.016,58,102,99,201,319,0.30,0.53,0.42,0.34,0.28,0.28,0.40,0.35,0.29,0.14,0.14,0.14,0.19,0.26,0.27,0.32,0.35,-,-,0.36,0.31,0.32,0.27,-,-,-,-,-,4,35,10,10,15,50,70,55,85,95,95,25,60,10,90,40,50,65,-,40,2,2,15,65,15,1,1,2
0200AN10443,RB MONEYBALL 080,19837910,"March 8, 2020",,9,0.2,89,160,0.33,1.85,0.6,0.08,12,0.51,0.35,2.07,14.7,11,20,136,1,-50,-,82,0.35,1.12,-0.038,55,128,50,178,286,0.34,0.54,0.46,0.38,0.30,0.30,0.43,0.39,0.34,0.28,0.28,0.26,0.22,0.29,0.30,0.35,0.38,-,-,0.39,0.34,0.34,0.31,-,-,-,-,-,30,30,2,2,4,95,45,95,80,55,4,70,25,25,90,1,10,95,-,2,80,2,4,75,1,45,10,15
0200AN10730,NORTH CAMP SILVER STAR 5103,18162044,"February 2, 2015",Hamilton Farms & Guy Lewis Laflin,6,0.7,50,91,0.24,0.36,0.4,0.68,22,0.49,0.58,1.42,11,9,20,21,70,0.6,-20,30,0.64,0.56,0.042,42,82,49,132,213,0.58,0.87,0.83,0.71,0.39,0.39,0.61,0.60,0.42,0.28,0.29,0.25,0.26,0.51,0.46,0.43,0.44,-,-,0.48,0.42,0.43,0.41,-,-,-,-,-,55,40,75,75,50,20,60,60,30,45,90,60,55,45,85,40,25,60,-,80,40,50,90,90,60,40,55,70
0200AN10426,PINE VIEW PREFERENCE H119,19783489,2020-01-03,-,7,3.4,88,149,0.28,1.68,0.4,0.71,29,0.43,0.36,0.39,11.5,11,29,100,0.7,-39,-,79,1.12,0.65,0,76,119,80,200,335,0.35,0.55,0.47,0.42,0.33,0.34,0.46,0.41,0.36,0.29,0.29,0.27,0.24,0.33,0.30,-,0.36,0.39,-,0.41,0.37,0.37,0.35,-,-,-,-,-,45,90,2,4,25,90,70,60,10,25,5,30,45,25,30,15,25,95,-,2,10,10,35,20,3,4,2,1
0200AN10376,RIVERBEND UPGRADE 8605,19400049,2018/10/11,Riverbend Ranch & Spruce Mountain Ranch LLC,5,2.2,92,175,0.34,2.69,1.2,1.11,19,0.43,0.45,2.14,8.3,14,22,141,1.2,-54,-,85,1.11,0.55,-0.007,45,130,75,205,311,0.41,0.72,0.57,0.42,0.35,0.35,0.54,0.50,0.39,0.30,0.30,0.29,0.26,0.33,0.34,-,0.39,0.42,-,0.44,0.39,0.39,0.36,-,-,-,-,-,65,75,1,1,2,95,3,30,40,25,30,75,10,5,75,1,2,95,-,1,10,55,25,85,1,10,1,4
